Category: All categories

Month,data science: (Worldwide),machine learning: (Worldwide),artificial intelligence: (Worldwide)
2004-01,7,15,69
2004-02,6,15,67
2004-03,7,16,66
2004-04,7,17,66
2004-05,9,16,44
2004-06,12,11,50
2004-07,5,17,47
2004-08,4,16,45
2004-09,9,14,51
2004-10,5,18,50
2004-11,5,15,52
2004-12,7,17,54
2005-01,8,15,48
2005-02,6,14,50
2005-03,3,17,42
2005-04,6,15,40
2005-05,4,11,41
2005-06,5,11,42
2005-07,6,13,32
2005-08,8,10,30
2005-09,6,9,41
2005-10,8,18,40
2005-11,10,13,38
2005-12,5,12,27
2006-01,6,14,33
2006-02,6,15,32
2006-03,6,13,32
2006-04,4,11,26
2006-05,5,7,24
2006-06,5,7,24
2006-07,4,9,22
2006-08,3,8,23
2006-09,7,9,30
2006-10,6,10,27
2006-11,5,11,31
2006-12,4,10,22
2007-01,5,11,25
2007-02,5,12,24
2007-03,5,8,29
2007-04,3,8,22
2007-05,4,8,22
2007-06,3,8,17
2007-07,3,9,21
2007-08,3,8,19
2007-09,6,11,22
2007-10,4,11,22
2007-11,5,10,22
2007-12,3,9,21
2008-01,5,7,22
2008-02,6,9,23
2008-03,3,9,21
2008-04,5,8,19
2008-05,4,8,16
2008-06,3,7,16
2008-07,4,7,17
2008-08,4,9,16
2008-09,5,10,20
2008-10,4,10,19
2008-11,4,8,17
2008-12,3,8,17
2009-01,5,8,17
2009-02,5,9,19
2009-03,5,7,19
2009-04,5,9,18
2009-05,4,8,19
2009-06,4,8,15
2009-07,3,7,17
2009-08,4,7,22
2009-09,5,8,20
2009-10,5,9,20
2009-11,6,9,20
2009-12,5,7,22
2010-01,5,8,18
2010-02,5,8,21
2010-03,5,9,19
2010-04,5,9,17
2010-05,5,9,19
2010-06,4,7,17
2010-07,4,8,15
2010-08,4,7,17
2010-09,6,7,20
2010-10,4,10,21
2010-11,4,7,19
2010-12,4,8,17
2011-01,5,7,18
2011-02,5,9,19
2011-03,4,9,18
2011-04,5,9,18
2011-05,4,8,15
2011-06,3,7,14
2011-07,4,6,16
2011-08,4,7,18
2011-09,6,9,21
2011-10,4,11,23
2011-11,5,11,23
2011-12,4,10,20
2012-01,6,9,18
2012-02,6,11,23
2012-03,5,10,19
2012-04,6,11,17
2012-05,5,11,17
2012-06,4,10,15
2012-07,4,10,16
2012-08,6,10,16
2012-09,8,12,17
2012-10,6,13,17
2012-11,6,11,17
2012-12,5,10,16
2013-01,7,10,15
2013-02,7,12,17
2013-03,7,11,17
2013-04,7,13,16
2013-05,7,11,15
2013-06,6,11,16
2013-07,6,10,14
2013-08,8,10,14
2013-09,9,13,17
2013-10,9,15,17
2013-11,9,14,17
2013-12,8,13,17
2014-01,10,13,17
2014-02,11,17,18
2014-03,11,15,17
2014-04,10,16,17
2014-05,10,16,18
2014-06,10,15,16
2014-07,11,15,15
2014-08,12,15,17
2014-09,16,18,18
2014-10,13,18,17
2014-11,13,18,19
2014-12,12,16,21
2015-01,13,20,20
2015-02,15,20,21
2015-03,14,20,22
2015-04,15,21,21
2015-05,16,21,25
2015-06,16,24,22
2015-07,16,23,21
2015-08,17,22,20
2015-09,22,25,22
2015-10,20,24,23
2015-11,19,28,23
2015-12,18,27,23
2016-01,21,29,25
2016-02,23,30,24
2016-03,22,31,26
2016-04,20,32,25
2016-05,22,33,25
2016-06,21,34,24
2016-07,22,30,20
2016-08,23,32,20
2016-09,28,39,24
2016-10,26,43,31
2016-11,27,45,30
2016-12,26,43,29
2017-01,33,47,31
2017-02,34,54,32
2017-03,35,56,35
2017-04,35,57,35
2017-05,34,61,36
2017-06,35,62,32
2017-07,33,60,33
2017-08,38,60,40
2017-09,41,68,45
2017-10,43,73,45
2017-11,42,78,52
2017-12,37,69,43
2018-01,47,71,55
2018-02,46,77,54
2018-03,48,78,51
2018-04,46,78,49
2018-05,47,79,48
2018-06,46,74,42
2018-07,48,79,41
2018-08,50,78,42
2018-09,52,81,48
2018-10,56,88,50
2018-11,52,83,48
2018-12,50,78,47
2019-01,61,85,49
2019-02,62,87,51
2019-03,59,85,50
2019-04,60,85,49
2019-05,62,86,50
2019-06,64,87,48
2019-07,66,86,49
2019-08,70,88,45
2019-09,78,95,55
2019-10,74,90,53
2019-11,68,91,53
2019-12,67,87,48
2020-01,75,92,53
2020-02,81,100,56
2020-03,66,81,48
2020-04,69,84,45
2020-05,71,88,47
2020-06,71,87,45
2020-07,74,84,43
2020-08,76,83,44
2020-09,80,91,49
2020-10,69,75,47
2020-11,60,72,45
2020-12,62,72,45
2021-01,64,70,43
2021-02,64,74,45
